title.Tournament,title.DateTime UTC,title.Team1,title.Team2,title.Winner,title.DateTime UTC__precision
LCS Proving Grounds 2021 Summer,2021-09-26 00:30:00,Golden Guardians Academy,Team Liquid Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-26 01:25:00,Golden Guardians Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-26 21:26:00,100 Thieves Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-26 22:39:00,100 Thieves Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-26 23:35:00,Team Liquid Academy,100 Thieves Academy,2,0
Digital Crusade Season 4,2021-09-25 15:58:00,Nexus KTRL,Racquestai,2,0
Digital Crusade Season 4,2021-09-25 17:07:00,Lenovo Legion Honvéd,Urban Esports,1,0
Digital Crusade Season 4,2021-09-25 18:25:00,Random 5,Cyber.MD,1,0
Digital Crusade Season 4,2021-09-25 19:27:00,OneTap Gaming,Infinite Gaming,2,0
LCS Proving Grounds 2021 Summer,2021-09-25 00:41:00,Golden Guardians Academy,Immortals Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-25 21:18:00,Golden Guardians Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-25 22:42:00,Golden Guardians Academy,Team Liquid Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-25 23:39:00,Golden Guardians Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-24 00:37:00,100 Thieves Academy,Team Liquid Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-24 01:26:00,Team Liquid Academy,100 Thieves Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-24 21:22:00,Golden Guardians Academy,Immortals Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-24 22:39:00,Golden Guardians Academy,Immortals Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-24 23:33:00,Golden Guardians Academy,Immortals Academy,1,0
LFL 2021 Promotion,2021-09-24 15:52:00,Izi Dream,Elyandra Esport,1,0
LFL 2021 Promotion,2021-09-24 16:39:00,Izi Dream,Elyandra Esport,2,0
LFL 2021 Promotion,2021-09-24 17:34:00,Izi Dream,Elyandra Esport,2,0
LFL 2021 Promotion,2021-09-24 18:28:00,Elyandra Esport,Izi Dream,1,0
LCS Proving Grounds 2021 Summer,2021-09-23 21:37:00,Team Liquid Academy,100 Thieves Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-23 22:45:00,100 Thieves Academy,Team Liquid Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-23 23:47:00,100 Thieves Academy,Team Liquid Academy,2,0
LFL 2021 Promotion,2021-09-23 15:43:00,Team Oplon,Elyandra Esport,1,0
LFL 2021 Promotion,2021-09-23 16:42:00,Team Oplon,Elyandra Esport,1,0
LFL 2021 Promotion,2021-09-23 17:27:00,Elyandra Esport,Team Oplon,2,0
Digital Crusade Season 4,2021-09-22 15:56:00,Cyber.MD,Lenovo Legion Honvéd,2,0
Digital Crusade Season 4,2021-09-22 17:18:00,Racquestai,Random 5,1,0
Digital Crusade Season 4,2021-09-22 18:35:00,Infinite Gaming,Nexus KTRL,2,0
Digital Crusade Season 4,2021-09-22 19:50:00,Urban Esports,OneTap Gaming,1,0
LFL 2021 Promotion,2021-09-22 15:48:00,Team MCES,Izi Dream,2,0
LFL 2021 Promotion,2021-09-22 16:52:00,Izi Dream,Team MCES,1,0
LFL 2021 Promotion,2021-09-22 17:36:00,Izi Dream,Team MCES,1,0
PRM 1st Division 2021 Winter,2021-09-22 15:46:00,Flayn eSports,Sprout (German Team),1,0
PRM 1st Division 2021 Winter,2021-09-22 16:36:00,TT willhaben,cowana Gaming,1,0
PRM 1st Division 2021 Winter,2021-09-22 17:52:00,Eintracht Frankfurt,404 Multigaming e.V.,2,0
PRM 1st Division 2021 Winter,2021-09-22 18:42:00,Austrian Force eSports,mYinsanity,2,0
PRM 1st Division 2021 Winter,2021-09-22 19:39:00,No Need Orga,TeamOrangeGaming,1,0
LFL 2021 Promotion,2021-09-21 15:54:00,Team Oplon,Team MCES,1,0
LFL 2021 Promotion,2021-09-21 16:44:00,Team Oplon,Team MCES,2,0
LFL 2021 Promotion,2021-09-21 17:25:00,Team MCES,Team Oplon,2,0
LFL 2021 Promotion,2021-09-21 18:36:00,Team Oplon,Team MCES,1,0
HUE Invitational 2021,2021-09-20 01:17:00,Saint Louis University,University of St. Thomas,2,0
HUE Invitational 2021,2021-09-20 02:16:00,University of St. Thomas,Saint Louis University,1,0
LCS Proving Grounds 2021 Summer,2021-09-20 00:58:00,Golden Guardians Academy,Wildcard Gaming Red,1,0
LCS Proving Grounds 2021 Summer,2021-09-20 02:14:00,Wildcard Gaming Red,Golden Guardians Academy,2,0
LFL 2021 Promotion,2021-09-20 15:24:00,Elyandra Esport,Izi Dream,2,0
LFL 2021 Promotion,2021-09-20 16:45:00,Izi Dream,Elyandra Esport,2,0
LFL 2021 Promotion,2021-09-20 17:29:00,Elyandra Esport,Izi Dream,1,0
LFL 2021 Promotion,2021-09-20 18:14:00,Elyandra Esport,Izi Dream,1,0
Liga Nexo 2021 Split 2,2021-09-20 14:57:00,Dead Rabbits Club,QLASH Spain,1,0
Liga Nexo 2021 Split 2,2021-09-20 17:17:00,UCAM Esports Club Academy,Movistar Riders Academy,2,0
Liga Nexo 2021 Split 2,2021-09-20 18:20:00,Kawaii Kiwis,Phlox Gaming,1,0
Liga Nexo 2021 Split 2,2021-09-20 19:35:00,Astralis SB,TOOOLS esports,2,0
PRM 1st Division 2021 Winter,2021-09-20 15:56:00,TeamOrangeGaming,Austrian Force eSports,1,0
PRM 1st Division 2021 Winter,2021-09-20 16:51:00,404 Multigaming e.V.,Flayn eSports,1,0
PRM 1st Division 2021 Winter,2021-09-20 17:50:00,cowana Gaming,Eintracht Frankfurt,1,0
PRM 1st Division 2021 Winter,2021-09-20 19:20:00,TT willhaben,mYinsanity,1,0
EM 2021 Summer Main Event,2021-09-19 14:39:00,Karmine Corp,Fnatic Rising,1,0
EM 2021 Summer Main Event,2021-09-19 16:30:00,Karmine Corp,Fnatic Rising,1,0
EM 2021 Summer Main Event,2021-09-19 17:21:00,Fnatic Rising,Karmine Corp,1,0
EM 2021 Summer Main Event,2021-09-19 18:12:00,Karmine Corp,Fnatic Rising,2,0
EM 2021 Summer Main Event,2021-09-19 19:02:00,Karmine Corp,Fnatic Rising,1,0
Gamergy Stars 2021,2021-09-19 09:48:00,Kawaii Kiwis,FROM ZERO TO HERO,1,0
Gamergy Stars 2021,2021-09-19 10:57:00,FROM ZERO TO HERO,Kawaii Kiwis,2,0
Gamergy Stars 2021,2021-09-19 11:45:00,Bis Esports,Zeta Gaming,2,0
Gamergy Stars 2021,2021-09-19 12:37:00,Zeta Gaming,Bis Esports,2,0
Gamergy Stars 2021,2021-09-19 13:25:00,Bis Esports,Zeta Gaming,1,0
Gamergy Stars 2021,2021-09-19 14:23:00,Kawaii Kiwis,Bis Esports,1,0
Gamergy Stars 2021,2021-09-19 15:40:00,Kawaii Kiwis,Bis Esports,1,0
HUE Invitational 2021,2021-09-19 01:07:00,Maryville University,Harrisburg University,1,0
HUE Invitational 2021,2021-09-19 01:14:00,Bay State College,Winthrop University,1,0
HUE Invitational 2021,2021-09-19 02:04:00,Maryville University,Harrisburg University,1,0
HUE Invitational 2021,2021-09-19 02:14:00,Winthrop University,Bay State College,1,0
HUE Invitational 2021,2021-09-19 18:55:00,Maryville University,University of St. Thomas,2,0
HUE Invitational 2021,2021-09-19 18:56:00,Saint Louis University,Winthrop University,2,0
HUE Invitational 2021,2021-09-19 20:09:00,Winthrop University,Saint Louis University,2,0
HUE Invitational 2021,2021-09-19 20:15:00,University of St. Thomas,Maryville University,1,0
HUE Invitational 2021,2021-09-19 21:16:00,Saint Louis University,Winthrop University,1,0
HUE Invitational 2021,2021-09-19 23:46:00,Saint Louis University,University of St. Thomas,1,0
LCS Proving Grounds 2021 Summer,2021-09-19 00:32:00,Dignitas Academy,Immortals Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-19 21:36:00,Wildcard Gaming Red,Golden Guardians Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-19 22:43:00,Wildcard Gaming Red,Golden Guardians Academy,2,0
LCS Proving Grounds 2021 Summer,2021-09-19 23:55:00,Wildcard Gaming Red,Golden Guardians Academy,1,0
Digital Crusade Season 4,2021-09-18 15:46:00,OneTap Gaming,Cyber.MD,1,0
Digital Crusade Season 4,2021-09-18 17:24:00,Urban Esports,Infinite Gaming,2,0
Digital Crusade Season 4,2021-09-18 18:24:00,Lenovo Legion Honvéd,Racquestai,1,0
Digital Crusade Season 4,2021-09-18 19:39:00,Random 5,Nexus KTRL,1,0
HUE Invitational 2021,2021-09-18 13:36:00,Aquinas College,Bethany Lutheran College,2,0
HUE Invitational 2021,2021-09-18 13:37:00,Saint Louis University,Illinois State University,1,0
HUE Invitational 2021,2021-09-18 13:47:00,Maryville University,State University of New York at Stony Brook,1,0
HUE Invitational 2021,2021-09-18 13:55:00,Bay State College,Grand View University,1,0
HUE Invitational 2021,2021-09-18 13:55:00,Harrisburg University,Boise State University,1,0
HUE Invitational 2021,2021-09-18 13:55:00,University of St. Thomas,Ohio Northern University,1,0
HUE Invitational 2021,2021-09-18 13:56:00,Ohio State University,Winthrop University,2,0
HUE Invitational 2021,2021-09-18 13:57:00,Alvernia University,Columbia College,2,0
HUE Invitational 2021,2021-09-18 14:40:00,State University of New York at Stony Brook,Maryville University,2,0
HUE Invitational 2021,2021-09-18 14:42:00,Aquinas College,Bethany Lutheran College,2,0
HUE Invitational 2021,2021-09-18 14:51:00,Saint Louis University,Illinois State University,1,0
HUE Invitational 2021,2021-09-18 14:53:00,University of St. Thomas,Ohio Northern University,1,0
HUE Invitational 2021,2021-09-18 14:59:00,Winthrop University,Ohio State University,1,0
HUE Invitational 2021,2021-09-18 15:00:00,Boise State University,Harrisburg University,2,0
HUE Invitational 2021,2021-09-18 15:03:00,Bay State College,Grand View University,2,0
HUE Invitational 2021,2021-09-18 15:08:00,Columbia College,Alvernia University,1,0
HUE Invitational 2021,2021-09-18 15:51:00,Illinois State University,Boise State University,1,0
HUE Invitational 2021,2021-09-18 15:54:00,Maryville University,Columbia College,1,0
HUE Invitational 2021,2021-09-18 16:00:00,Bay State College,Grand View University,1,0
HUE Invitational 2021,2021-09-18 16:01:00,Alvernia University,State University of New York at Stony Brook,2,0
HUE Invitational 2021,2021-09-18 16:05:00,Bethany Lutheran College,Winthrop University,1,0
